i \in I,s \in S,h_is
345,s1,22428.0
345,s2,144313.99
346,s1,17419.0
346,s2,112317.91
347,s1,14323.0
347,s2,91032.7
348,s1,4178.0
348,s2,27305.096
349,s1,21273.0
349,s2,129900.45
350,s1,17147.0
350,s2,102182.14
351,s1,25052.0
351,s2,143292.0
352,s1,14037.0
352,s2,80203.58
353,s1,6500.0
353,s2,35309.22
354,s1,11132.0
354,s2,64471.4
355,s1,16724.0
355,s2,93026.72
356,s1,18332.0
356,s2,110742.11
357,s1,16575.0
357,s2,97922.48
358,s1,7772.0
358,s2,51562.41
359,s1,6103.0
359,s2,41635.62
360,s1,5498.0
360,s2,35330.541
361,s1,13937.0
361,s2,89896.74
362,s1,73319.0
362,s2,394732.4
363,s1,14826.0
363,s2,85934.66
364,s1,12525.0
364,s2,91325.33
365,s1,15162.0
365,s2,94394.29
366,s1,14516.0
366,s2,87643.02
367,s1,22088.0
367,s2,160215.31
368,s1,6944.0
368,s2,37041.59
369,s1,101.0
369,s2,625.807
370,s1,11643.0
370,s2,70744.95
371,s1,4942.0
371,s2,32023.65
372,s1,64558.0
372,s2,434954.34
373,s1,10581.0
373,s2,63348.6
374,s1,12437.0
374,s2,76134.87
375,s1,11450.0
375,s2,69036.61
376,s1,4102.0
376,s2,27229.4
377,s1,17829.0
377,s2,113984.26
378,s1,19412.0
378,s2,118378.86
379,s1,15751.0
379,s2,71242.36
380,s1,16081.0
380,s2,101112.9
381,s1,14470.0
381,s2,92918.15
382,s1,8015.0
382,s2,51292.39
383,s1,9969.0
383,s2,66212.49
384,s1,12177.0
384,s2,76402.03
385,s1,16327.0
385,s2,94809.05
386,s1,18539.0
386,s2,97092.75
387,s1,12583.0
387,s2,78831.44
388,s1,24543.0
388,s2,167197.14
389,s1,7546.0
389,s2,43903.15
390,s1,19296.0
390,s2,114481.86
391,s1,14394.0
391,s2,91994.08
392,s1,4857.0
392,s2,28862.349
393,s1,15312.0
393,s2,91991.5
394,s1,8959.0
394,s2,62162.81
395,s1,8073.0
395,s2,44580.39
396,s1,11285.0
396,s2,65735.43
397,s1,11304.0
397,s2,72739.4
398,s1,10641.0
398,s2,64108.25
399,s1,24219.0
399,s2,142066.92
400,s1,32286.0
400,s2,211834.55
401,s1,28463.0
401,s2,197862.52
402,s1,9822.0
402,s2,53568.43
403,s1,5429.0
403,s2,29647.25
404,s1,12.0
404,s2,51.7931
405,s1,13015.0
405,s2,86816.08
406,s1,13500.0
406,s2,81475.91
407,s1,9925.0
407,s2,57448.96
408,s1,8238.0
408,s2,53904.82
409,s1,40977.0
409,s2,243644.23
410,s1,19206.0
410,s2,114514.13
411,s1,20895.0
411,s2,89248.28
412,s1,22986.0
412,s2,131822.49
413,s1,4059.0
413,s2,23500.698
414,s1,35861.0
414,s2,230933.33
415,s1,192626.0
415,s2,1377684.0
