i \in I,j \in M,d_ij
4,P40,579.175407394284
4,P41,571.3339589802134
4,P42,528.5169858564409
4,P43,586.735057954557
4,P44,389.3392406046113
4,P45,524.4555630401262
4,P46,629.1978489105426
4,P47,400.34587000528967
4,P48,435.51871641770845
4,P49,531.9355326329706
4,P50,363.2036438001446
5,E1,600.8515385475622
5,E2,434.8204500044924
5,E3,514.5511711718971
5,E4,610.048516940074
5,E5,592.5502580614852
5,E6,607.5331223419361
5,E7,582.3371900503033
5,E8,548.6927000739593
5,E9,366.3582155326945
5,E10,369.3679556161406
5,E11,431.1711599357906
5,E12,247.61351171163585
5,E13,247.29917019726753
5,E14,267.52288414082557
5,E15,281.90799912952605
5,E16,151.710305795532
5,E17,189.58758987119097
5,E18,316.3981723103713
5,E19,104.91629626831941
5,E20,124.09139068336147
5,E21,86.70084944963453
5,E22,110.45703977605713
5,E23,125.54095531818541
5,E24,154.2545095341334
5,E25,93.65546637528949
5,E26,82.49938194705717
5,E27,49.59441301320708
5,E28,38.27300762959675
5,E29,91.57866348202865
5,E30,117.93216001871937
5,E31,137.31455299807064
5,E32,95.81716018373416
5,E33,179.75650281120926
5,E34,144.70618861298118
5,E35,173.86297288696213
5,E36,249.56241921085845
5,E37,242.52436713671568
5,E38,280.34754732248115
5,E39,479.0013419182148
5,E40,462.08286358831765
5,E41,392.3438841152843
5,E42,328.63275406491965
5,E43,352.54259843485374
5,E44,481.7781699617005
5,E45,249.99235308900248
5,E46,331.6092521168236
5,P1,399.79974956670543
5,P2,595.912467127179
5,P3,150.3781097320019
5,P4,89.96167270564743
5,P5,68.78621269711988
5,P6,263.6047523475866
5,P7,294.5493512749551
5,P8,143.4387772053432
5,P9,135.00634592959057
5,P10,82.62232279666294
5,P11,611.8828128756469
5,P12,128.66617276496905
5,P13,106.77861834992592
5,P14,74.39311838866674
5,P15,103.13832933575804
5,P16,111.91675676063444
5,P17,106.67060513843695
5,P18,113.42451936976799
5,P19,419.13701635027644
5,P20,137.95115743966434
5,P21,195.22808626625394
5,P22,81.35310962842013
5,P23,135.65110220933104
5,P24,170.29892632055265
5,P25,97.01387117840338
5,P26,111.4002613808625
5,P27,91.4394616977004
5,P28,155.44530621206192
